ADT-HURSAT SID ,ALT SID IBTrACS,ATCF ID   ,Names and sources in IBTrACS
1979204N19143  ,               ,bwp081979 ,bwp081979[jtwc_wp] = UNNAMED[cma] = UNNAMED[td9636] = 08W[ds824]
1979205N10148  ,               ,multiple  ,bwp091979[jtwc_wp] = HOPE[tokyo] = HOPE[cma] = bio031979[jtwc_io] = HOPE[hko] = UNNAMED[td9636] = UNNAMED[td9636] = HOPE[ds824] = 03B[ds824]
1979205N17325  ,               ,bal071979 ,UNNAMED[hurdat_atl] = bal071979[atcf]
1979206N19132  ,               ,bwp101979 ,bwp101979[jtwc_wp] = GORDON[tokyo] = GORDON[cma] = GORDON[hko] = GORDON[ds824]
1979213N17306  ,               ,bal081979 ,UNNAMED[hurdat_atl] = bal081979[atcf]
1979214N12136  ,               ,bwp111979 ,bwp111979[jtwc_wp] = UNNAMED[cma] = TD0805[hko] = UNNAMED[td9636] = 11W[ds824]
1979216N15111  ,               ,none      ,UNNAMED[cma] = TD0806[hko]
1979218N16149  ,               ,none      ,UNNAMED[cma]
1979219N15138  ,               ,bwp121979 ,bwp121979[jtwc_wp] = IRVING[tokyo] = IRVING[cma] = IRVING[hko] = UNNAMED[td9636] = IRVING[ds824]
1979220N18113  ,               ,none      ,TD0808[hko]
1979224N32143  ,               ,none      ,UNNAMED[cma]
1979228N11151  ,               ,bwp131979 ,bwp131979[jtwc_wp] = JUDY[tokyo] = JUDY[cma] = JUDY[hko] = UNNAMED[td9636] = JUDY[ds824]
1979228N12169  ,               ,bwp141979 ,bwp141979[jtwc_wp] = UNNAMED[cma] = UNNAMED[td9636] = 14W[ds824]
1979230N11246  ,               ,multiple  ,ENRIQUE[hurdat_epa] = bep071979[jtwc_ep] = UNNAMED[td9636] = bep051979[atcf] = ENRIQUE[ds824]
1979233N14258  ,               ,multiple  ,FEFA[hurdat_epa] = bep081979[jtwc_ep] = UNNAMED[td9636] = bep061979[atcf] = FEFA[ds824]
1979238N12324  ,               ,bal091979 ,DAVID[hurdat_atl] = bal091979[atcf]
1979238N18266  ,               ,bal101979 ,UNNAMED[hurdat_atl] = bal101979[atcf]
1979238S08085  ,               ,none      ,TONY[neumann] = TONY[ds824]
1979239N22153  ,               ,none      ,UNNAMED[cma]
1979241N11335  ,               ,bal111979 ,FREDERIC[hurdat_atl] = bal111979[atcf]
1979242N22143  ,               ,bwp151979 ,bwp151979[jtwc_wp] = KEN[tokyo] = KEN[cma] = KEN[hko] = UNNAMED[td9636] = KEN[ds824]
1979242N26271  ,               ,bal121979 ,ELENA[hurdat_atl] = bal121979[atcf]
1979243N19154  ,               ,bwp161979 ,bwp161979[jtwc_wp] = LOLA[tokyo] = LOLA[cma] = LOLA[hko] = UNNAMED[td9636] = LOLA[ds824]
1979245N20338  ,               ,bal131979 ,UNNAMED[hurdat_atl] = bal131979[atcf]
1979247N15265  ,               ,bep091979 ,bep091979[jtwc_ep] = UNNAMED[td9636]
1979248N16339  ,               ,bal141979 ,GLORIA[hurdat_atl] = bal141979[atcf]
1979252N16259  ,               ,multiple  ,GUILLERMO[hurdat_epa] = bep101979[jtwc_ep] = UNNAMED[td9636] = bep071979[atcf] = GUILLERMO[ds824]
1979254N10140  ,               ,bwp171979 ,bwp171979[jtwc_wp] = MAC[tokyo] = MAC[cma] = MAC[hko] = UNNAMED[td9636] = MAC[ds824]
1979258N10120  ,               ,bwp181979 ,bwp181979[jtwc_wp] = NANCY[tokyo] = NANCY[cma] = NANCY[hko] = UNNAMED[td9636] = NANCY[ds824]
1979258N20273  ,               ,bal151979 ,HENRI[hurdat_atl] = bal151979[atcf]
1979259N11078  ,               ,bio041979 ,bio041979[jtwc_io] = UNNAMED[td9636] = 04B[ds824]
1979260N16312  ,               ,bal161979 ,UNNAMED[hurdat_atl] = bal161979[atcf]
1979262N15149  ,               ,bwp191979 ,bwp191979[jtwc_wp] = OWEN[tokyo] = OWEN[cma] = OWEN[hko] = UNNAMED[td9636] = OWEN[ds824]
1979264N10087  ,               ,bio051979 ,bio051979[jtwc_io] = UNNAMED[td9636] = 05B[ds824]
1979266N18150  ,               ,bwp201979 ,bwp201979[jtwc_wp] = PAMELA[tokyo] = PAMELA[cma] = PAMELA[hko] = UNNAMED[td9636] = PAMELA[ds824]
1979269N19133  ,               ,none      ,UNNAMED[td9636]
1979271N13113  ,               ,bwp221979 ,bwp221979[jtwc_wp] = SARAH[tokyo] = SARAH[cma] = TD1001[hko] = SARAH[hko] = UNNAMED[td9636] = SARAH[ds824]
